about,address,area,award_winner,children,disabled_access,dogs,dress_code,gardens,gluten_free,halal,latitude,longitude,menu_description,menu_url,music,name,nearest_railway_station,nut_free,outdoor_seating,region,starting_price,times,vegan,vegetarian,venue_url,where_to_sit
"Indulge in a sumptuous Afternoon Tea at this quintessential manor. Buckland Manor exudes timeless elegance, mullioned windows and beautifully manicured gardens. With a warm and inviting ambience, there is a hint of nostalgia for a bygone era.  Nestled among rolling hills, Buckland Manor is surrounded by lush greenery and fields. The village is a peaceful haven, with quaint cottages and a timeless quality.  Step into one of the manor's cozy lounges, with a roaring fireplace casting a warm, inviting glow. Plush armchairs are arranged around coffee tables. creating an intimate and comfortable atmosphere. On a sunny day, venture out to the delightful herb garden.  Afternoon Tea includes an extensive array of teas, each carefully curated to suit every palate. The first course includes an assortment of savoury treats from finger sandwiches to homemade pie. Warm, freshly baked scones, accompanied with clotted cream and strawberry preserves. The final course is an enchanting display of sweet confections, macarons, minature fruit tart and home-made cake.","Near Broadway, Buckland,WR12 7LY",Gloucestershire,,Yes,Yes,Yes,Smart casual,Yes,"Yes, advance notice required","Yes, advance notice required",52.02216260207401,-1.8826474578580636,,www.afternoontea.co.uk//media/yywkinnt/buckland-manor-at-menu.pdf,No,Buckland Manor,Moreton-in-Marsh,"Yes, advance notice required",Yes,South West,38.50,"Afternoon Tea is served 2:30pm - 6pm Monday to Saturday, and 4pm - 6pm on Sunday","Yes, advance notice required","Yes, advance notice required",https://www.afternoontea.co.uk/uk/south-west/gloucestershire/buckland-manor/,In the lounges or on the terrace (weather permitting)
"Along the serene northern Welsh coastline, the Porth Eirias beach is a jewel of renowned Colwyn Bay and is the scenery for the Bryn Williams Bistro. This laid back and tranquil establishment is the perfect place to take a step back and relax. It focuses on freshly locally sourced sea food and this influences the different options available on the Afternoon Tea menu.  Bryn has a team of chefs that specialise in cooking seafood and it’s no different than in their Afternoon Tea services. They include fresh salmon in their selection of sandwich options along with ham and egg mayonnaise.  The service area at the Bryn Williams takes advantage of its seaside location with the many open and expansive windows perpetuate the feeling of the sea and allow for customers to view the tide whilst enjoying their Afternoon Tea. The simple wooden furniture exaggerates the beach hut and vacation aesthetic and improves the seafood culinary experience.  The Bistro is located near the Colwyn promenade and is alongside various shops and seaside attractions such as the jet ski club and tennis centre.  The Bryn Williams Bistro is a short 10-minute walk away from the train station and ensures that it is easy to visit whilst going to the beautiful Porth Eirias beach.","Promenade, Colwyn Bay,LL29 8HH",North Wales,,Children of any age are permitted,Yes,Guide dogs only,No,No,No,No,53.29529309167504,-3.7166159180607736,,www.afternoontea.co.uk//media/r51dpsu4/afternoon-tea.pdf,No,Bryn Williams at Porth Eirias,Colwyn Station,No,Yes,Wales,21.95,Afternoon Tea served 3pm to 8:30pm Monday to Friday only,No,Yes,https://www.afternoontea.co.uk/uk/wales/north-wales/bryn-williams-at-porth-eirias/,Sit inside or outside near the beach
Enjoy an exquisite afternoon tea in the delightful setting of a 17th century country house in Canterbury. Where better to dine than a fine 17th country house set within the 235 acres of the beautiful Kent countryside?  This Afternoon Tea experience is not only set in a stunning rural location but the dining room itself has been exceptionally restored to match the Jacobean mansion. Your menu is created from the finest local ingredients and overlooks the grandeur of the Broome Park.,"Canterbury, Kent,CT4 6QX",Kent,,,,,,,,,51.189954,1.177043,,,,Broome Park Golf and Country Club,Shepherds Well,,,South East,59.00,,,,https://www.afternoontea.co.uk/uk/south-east/kent/broome-park-golf-and-country-club/,
Discover the history of Brooklands Museum in Surrey with entry for two and cream tea or lunch. Experience take-off in the famous Concorde!,"Runnymede and Weybridge, Surrey,KT13 0QN",Surrey,,,,,,,,,51.354906,-0.464432,,,,Brooklands Museum,Weybridge,,,South East,64.00,,,,https://www.afternoontea.co.uk/uk/south-east/surrey/brooklands-museum/,
"One of the finest luxury Surrey Hotels, Brooklands prides itself on personality, individuality, and an unparalleled level of service. With an iconic, art deco inspired interior and the world's most historic motor racing track running through the reception; the Brooklands Hotel has to be seen to be believed.  With a ultra-modern setting; 1907 restaurant, bar & grill is found within the Brooklands Hotel. Housed adjacent to Britain's most iconic race track, glitzy fittings and plush leather are offset by original chequered flags from the trackside. Blending classic Art Deco style with contemporary flourishes, 1907 Restaurant, Bar & Grill evokes a fashionable ambience where Afternoon Tea can be enjoyed.  If the sun is shining you can enjoy the traditionally English delight of Afternoon Tea in the outdoor patio area, perfect for a special occasion.","Brooklands Drive, Weybridge, Surrey,KT13 0SL",Surrey,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,,,51.353181,-0.470825,"Full Afternoon Tea; A selection of freshly made finger sandwiches with classic fillings including:; Smoked salmon; Egg; Ham; Cucumber; Four sweet cake items & homemade fruit scones served with homemade lemon curd, strawberry jam & clotted cream; £29.95 per person; ; Prosecco Full Afternoon Tea; Full Afternoon Tea served with a glass of Prosecco; £37.95 per person; ; Champagne Full Afternoon Tea; Full Afternoon Tea served with a glass of Champagne; £42.95 per person",,No live music,Brooklands Hotel,Weybridge,,Yes,South East,29.95,Afternoon Tea is served 1pm to 5pm every day,,,https://www.afternoontea.co.uk/uk/south-east/surrey/brooklands-hotel/,"1907 restaurant, bar & grill"
"Enjoy a traditional Afternoon Tea at Bromley Court Hotel. The Garden Restaurant features the perfect interior, with natural light through the conservatory windows, and idyllic views of the garden.  The hotel is in a historic location, and was the family home of Charles Long, 1st Baron Farnborough. It has been a family owned hotel since 1931. The Garden Restaurant is within the hotel's stunning gardens, offering up Afternoon Tea with a view.  Afternoon Tea is served in the conservatory. This is a beautifully lit space, with natural light creating a warm, bright atmosphere. There is also access to the garden, so guests can enjoy a pre or post Afternoon Tea walk.  The menu features a traditional Afternoon Tea, including a selection of delicate finger sandwiches, and freshly baked scones with clotted cream and seasonal preserves. To finish it off, there are a selection of indulgent sweet treats, such as the caramel éclair with craquelin. Afternoon Tea is also served with a range of teas and infusions. Guests desiring an extra sense of luxury can upgrade to the Sparkling Afternoon Tea, which includes a glass of Prosecco.  Bromley Court Hotel is located in Bromley, near Bromley North and South station, as well as Ravensbourne station.","Bromley Hill, Bromley,BR1 4JD",South London,,Yes,Yes,Guide dogs only,No dress code,Yes,"Yes, with at least 24 hours notice",Yes,51.41661729343695,0.001955194065544913,,www.afternoontea.co.uk//media/l0rdbweu/bromley-court-hotel-at-menu.pdf,No,Bromley Court Hotel,"Bromley North, Bromley South, Ravensbourne",Yes,Yes,London,19.95,Afternoon Tea is served Monday - Sunday from 2:30pm to 4:30pm,"Yes, with at least 24 hours notice",Yes,https://www.afternoontea.co.uk/uk/london/south-london/bromley-court-hotel/,The Garden Restaurant
"As you enter the rather beautiful Brigit's Bakery Covent Garden, you're immediately hit with the sweet smell of baking as your eyes fall upon the most wonderful and seemingly endless cake counter in front of you. London meets Paris with this quaint, yet modern boutique bakery. All cakes are baked daily by an expert French team of pastry chefs.  Guests can enjoy a full Afternoon Tea experience with a selection of sandwiches, cakes, mini cupcakes, freshly made scones with clotted cream, as well as a great choice of loose tea from Bartjeman & Barton.  Located just a minute walk from Trafalgar Square and Covent Garden, Brigit's Bakery Covent Garden is an impressive venue for anyone seeking a delicious Afternoon Tea.  Gluten free, vegetarian and halal Afternoon Teas available.","6 - 7 Chandos Place, Covent Garden,WC2N 4HU",Covent Garden,,Children of all ages welcome,No Disabled Access,"Yes, if small",Smart casual,No,"Yes, available upon request","Yes, available upon request",51.510168,-0.124576,Traditional Afternoon Tea: £39 per person; With a glass of:; Prosecco: £43 per person; Slingsby Gin cocktail: £43 per person; Champagne: £47 per person,www.afternoontea.co.uk//media/4nwpfzlm/brigits-bakery-cg-menu-may2021.pdf,No live music,Brigit's Bakery Covent Garden,Charing Cross,,No,London,39.00,Afternoon Tea is served 11am to 6pm every day,"Yes, available upon request",,https://www.afternoontea.co.uk/uk/london/covent-garden/b-bakery-covent-garden/,Upstairs near the window or private rooms
"Why not indulge in Afternoon Tea at Bridgewood Manor? Situated in Chatham, this four-star hotel serves an array of traditional treats and boasts a spa - the perfect recipe for a relaxing afternoon!  Afternoon Tea is served in Squires Bar, a warm and welcoming space to enjoy an array of tea-time treats.  The Birdcage Afternoon Tea includes dainty finger sandwiches, scones with cream and jam and an array of delicious tea-time pastries. All served on a traditional Afternoon Tea stand.  Bridgewood Manor is situated in Kent, with the closest station is Chatham.","Near Bluebell Hill, Walderslade Woods, Chatham,ME5 9AX",Kent,,,Yes,Guide dogs only,No dress code,Yes,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",51.342935,0.508281,THE TRADITIONAL AFTERNOON TEA; Chef ’s selection of sandwiches; Sultana scones with jam & clotted cream; Chef ’s selection of cakes; Tea and coffee; £19.50 per person,,No live music,Bridgewood Manor,Chatham,"Yes, please specify at the time of booking",Yes,South East,19.50,Afternoon Tea is served 12pm to 4pm every day,No,,https://www.afternoontea.co.uk/uk/south-east/kent/bridgewood-manor/,The Lounge
"Tuck into a traditional Afternoon Tea for two as you enjoy a leisurely cruise along the scenic Bridgewater Canal.  Enjoy a luxury cruise with Afternoon Tea for two aboard the Francis Egerton, exploring the Bridgewater Canal between Worsley and the Barton Aqueduct. Take in the historic sights while tucking into a glorious selection of treats during this 2 hour trip, including sandwiches, freshly baked scones, clotted cream and a variety of petits fours.","Worsley and Eccles South, Lancashire,M28 2PD",Lancashire,,,,,,,,,53.498675,-2.380642,,,,Bridgewater Cruises,Patricroft,,,North West,62.00,,,,https://www.afternoontea.co.uk/uk/north-west/lancashire/bridgewater-cruises/,
"Enjoy a traditional Afternoon Tea in the surroundings of The Bridge Tea Rooms, a delightful tea room in Bradford-on-Avon bursting with quintessential English charm.  A Victorian, fairy-tale cottage from the outside, one step inside The Bridge Tea Rooms will find you transported back in time. Afternoon Tea is served in the cosy dining room, surrounded by elegant picture frames, homely trinkets and wooden beams.  Their Afternoon Tea menu comprises a delicious assortment of sweets and savouries. A selection of delicate finger sandwiches is followed by freshly-baked scones and homemade cakes and pastries, served alongside your choice of loose leaf tea. Guests truly wishing to indulge can upgrade to include a glass of Prosecco or even Champagne!  The Bridge Tea Rooms is conveniently located, just a short walk from Bradford-on-Avon train station.","24a Bridge Street, Bradford on Avon, Wiltshire,BA15 1BY",Wiltshire,,Children of all ages welcome,Difficult access,Guide dogs only,No dress code,No,Yes - on request,No,51.346580,-2.251130,"AFTERNOON TEA; A Selection of Traditional Sandwiches; Cucumber with Mint on White Bread; Wiltshire Chicken Fillet with Mayonnaise on Granary Bread; Free Range Egg Mayonnaise and Fresh Cress on White Bread; Scottish Smoked Salmon with French Le Roule on Granary Bread; Wiltshire Cheddar Cheese and Harvest Chutney on Granary Bread; Scones; Freshly Baked Organic Sultana and Plain Scones with Organic Jersey Cow Clotted Cream and Strawberry Jam hand-made on a Somerset Farm using open pans.; Cakes; An Assortment of Freshly Baked Cakes, Tartlets, and Meringue.; Your choice of loose leaf tea; £26 per person; £29.50 per person; with a glass of Prosecco; £68 for Two; with a 1⁄2 bottle 37.5cl of Ruffin et Fils Champagne; Children's Afternoon Tea; A choice of cheese, tuna, or ham sandwich.; A scone served with jam and clotted cream or a slice of cake.; A glass of milk shake.; £10.25 per child",,No live music,The Bridge Tea Rooms,Bradford on Avon,Yes - on request,No,South West,21.00,Afternoon Tea is served 12pm to 4.30pm every day,Yes - on request,,https://www.afternoontea.co.uk/uk/south-west/wiltshire/the-bridge-tea-rooms/,The Bridge Tea Rooms
"Join Brewhemia for an indulgent Afternoon Tea in Edinburgh. Just a stone’s throw from Edinburgh Waverley station, right in the heart of the city centre. Their famous Afternoon Tea comes from a rich Victorian tradition of spending an afternoon partaking in all manner of bitesize delicacies, in the very best of company.  Their story is one steeped in adventure, a love of great food, drinks and a passion for theatrics. A haven for those with a thirst for discovery, indulge your senses and share in the wonder of Brewhemia.  Served in the Caffe, inspired by the elegance of Venice in a spacious yet intimate setting it’s the perfect place to spend your afternoon right in the heart of Edinburgh.  The Executive chef has created a delicious bespoke version of the classic Afternoon Tea. They have fused Scottish flavours with traditional staples, it makes for a delightfully decadent 3-tiered stand. Enjoy a selection of sandwiches, savouries, cakes and fresh-baked scones, served with your choice of tea or artisan coffee.  For the sophisticated man about town, the Caffe and Bothy spaces at Brewhemia also make for a stylish backdrop to experience the famous Gentleman’s Afternoon Tea. Click here for more information.","1A Market Street, Edinburgh,EH1 1DE",Edinburgh,,Children of all ages welcome,"Yes, must be notified in advance as we cannot offer wheelchair access to the Caffe but can accommodate within other areas of the venue.",All Dogs Welcome,Smart/Casual,,,,55.95113,-3.18875,,www.afternoontea.co.uk//media/5kup0ycn/brewhemia-afternoon-tea_landscape.png,,Brewhemia,Edinburgh Waverley Train station,"Yes, please specify when booking",,Scotland,22.00,"Afternoon Tea is served daily at 12pm, 2pm or 4pm",,"Yes, No Notice Required",https://www.afternoontea.co.uk/uk/scotland/edinburgh/brewhemia/,Afternoon Tea is served in The Caffe
